region,common_region,metric,scenario,year,unit,value
Africa,Africa,IT electricity consumption (TWh),Historical,2020,TWh,0.6
Africa,Africa,IT electricity consumption (TWh),Historical,2023,TWh,0.7
Africa,Africa,IT electricity consumption (TWh),Historical,2024,TWh,0.8
Africa,Africa,IT electricity consumption (TWh),Base Case,2030,TWh,1.8
Middle East,Middle East,IT electricity consumption (TWh),Historical,2020,TWh,0.5
Middle East,Middle East,IT electricity consumption (TWh),Historical,2023,TWh,0.7
Middle East,Middle East,IT electricity consumption (TWh),Historical,2024,TWh,0.8
Middle East,Middle East,IT electricity consumption (TWh),Base Case,2030,TWh,1.7
Asia Pacific,Asia Pacific,IT electricity consumption (TWh),Historical,2020,TWh,55.0
Asia Pacific,Asia Pacific,IT electricity consumption (TWh),Historical,2023,TWh,82.0
Asia Pacific,Asia Pacific,IT electricity consumption (TWh),Historical,2024,TWh,100.0
Asia Pacific,Asia Pacific,IT electricity consumption (TWh),Base Case,2030,TWh,281.0
China,China,IT electricity consumption (TWh),Historical,2020,TWh,37.0
China,China,IT electricity consumption (TWh),Historical,2023,TWh,54.0
China,China,IT electricity consumption (TWh),Historical,2024,TWh,68.0
China,China,IT electricity consumption (TWh),Base Case,2030,TWh,205.0
World,World,Total electricity consumption (TWh),Base Case,2035,TWh,1193.0
World,World,Total electricity consumption (TWh),Lift-Off,2030,TWh,1264.0
World,World,Total electricity consumption (TWh),Lift-Off,2035,TWh,1719.0
World,World,Total electricity consumption (TWh),High Efficiency,2030,TWh,792.0
World,World,Total electricity consumption (TWh),High Efficiency,2035,TWh,972.0
World,World,Total electricity consumption (TWh),Headwinds,2030,TWh,669.0
World,World,Total electricity consumption (TWh),Headwinds,2035,TWh,707.0
World,World,IT electricity consumption (TWh),Base Case,2035,TWh,985.0
World,World,IT electricity consumption (TWh),Lift-Off,2030,TWh,972.0
World,World,IT electricity consumption (TWh),Lift-Off,2035,TWh,1409.0
World,World,IT electricity consumption (TWh),High Efficiency,2030,TWh,657.0
World,World,IT electricity consumption (TWh),High Efficiency,2035,TWh,864.0
World,World,IT electricity consumption (TWh),Headwinds,2030,TWh,522.0
World,World,IT electricity consumption (TWh),Headwinds,2035,TWh,587.0
World,World,Total installed capacity (GW),Base Case,2035,GW,277.0
World,World,Total installed capacity (GW),Lift-Off,2030,GW,305.0
World,World,Total installed capacity (GW),Lift-Off,2035,GW,404.0
World,World,Total installed capacity (GW),High Efficiency,2030,GW,185.0
World,World,Total installed capacity (GW),High Efficiency,2035,GW,221.0
World,World,Total installed capacity (GW),Headwinds,2030,GW,158.0
World,World,Total installed capacity (GW),Headwinds,2035,GW,160.0
World,World,IT installed capacity (GW),Base Case,2035,GW,228.0
World,World,IT installed capacity (GW),Lift-Off,2030,GW,233.0
World,World,IT installed capacity (GW),Lift-Off,2035,GW,330.0
World,World,IT installed capacity (GW),High Efficiency,2030,GW,153.0
World,World,IT installed capacity (GW),High Efficiency,2035,GW,196.0
World,World,IT installed capacity (GW),Headwinds,2030,GW,122.0
World,World,IT installed capacity (GW),Headwinds,2035,GW,132.0
World,World,Power usage effectiveness,Base Case,2035,ratio,1.21
World,World,Power usage effectiveness,Lift-Off,2030,ratio,1.3
World,World,Power usage effectiveness,Lift-Off,2035,ratio,1.22
World,World,Power usage effectiveness,High Efficiency,2030,ratio,1.21
World,World,Power usage effectiveness,High Efficiency,2035,ratio,1.13
World,World,Power usage effectiveness,Headwinds,2030,ratio,1.28
World,World,Power usage effectiveness,Headwinds,2035,ratio,1.2
World,World,Load factor (%),Base Case,2035,percent,49.0
World,World,Load factor (%),Lift-Off,2030,percent,47.0
World,World,Load factor (%),Lift-Off,2035,percent,49.0
World,World,Load factor (%),High Efficiency,2030,percent,49.0
World,World,Load factor (%),High Efficiency,2035,percent,50.0
World,World,Load factor (%),Headwinds,2030,percent,48.0
World,World,Load factor (%),Headwinds,2035,percent,50.0
