project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Plymouth Energy Merrill biorefinery (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,157000.0,0.157,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
"POET 17 bioprocessing plants (IA, NE, SD)",United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2027,2021,4700000.0,4.7,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
ECO2CEE (Poland EU CCS Interconnector) phase 1,"Poland, Latvia, Lithuania","Poland, Latvia, Lithuania",Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2027,2021,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,"Poland, Latvia, Lithuania","Poland, Latvia, Lithuania",Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2031,2021,6000000.0,6.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Polaris CCS capture (ALB),Canada,Canada,North America,Under construction,Fuel transformation,Capture,,Dedicated storage,,2028,2021,650000.0,0.65,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Polaris offshore storage facility,Norway,Europe,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,2028,2021,8000000.0,8.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Valero Port Arthur Refinery (TX),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,2013,2009,900000.0,0.9,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Porthos offshore transport and storage,Netherlands,Europe,Europe,Under construction,CO2 T&S,T&S,,Dedicated storage,,2026,2018,2500000.0,2.5,,,Under construction,CO2 T&S,IEA-CCUS-2026.xlsx,under_construction
Prairie State Generating Station Carbon Capture (IL),United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,,2019,6050000.0,6.05,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Prax Lindsey Oil Refinery Phase 1,United Kingdom,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2028,2021,550000.0,0.55,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Prax Lindsey Oil Refinery Phase 2,United Kingdom,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2030,2021,550000.0,0.55,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Preem CCS at Lysekil refinery,Sweden,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2018,300000.0,0.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Project Bifrost Phase 1,Denmark,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2021,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Project Cavendish Phase 1,United Kingdom,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2026,2021,1200000.0,1.2,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Project Cavendish Phase 2,United Kingdom,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2026,2021,1800000.0,1.8,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
ECO2S: Early CO2 Storage Complex in Kemper County (MS),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2017,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Greensand Future phase 1,Denmark,Europe,Europe,Under construction,CO2 T&S,T&S,,Dedicated storage,,2026,2020,400000.0,0.4,,,Under construction,CO2 T&S,IEA-CCUS-2026.xlsx,under_construction
Project Greensand phase 2,Denmark,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2020,7600000.0,7.6,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Hereford Ethanol Plant - Carbon Storage Texas I (TX)  (Project Interseqt),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2028,2018,350000.0,0.35,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Project Interseqt - Plainview Ethanol Plant (TX),United States,United States,North America,Planned,Fuel transformation,Full chain,,EOR,,2028,2018,350000.0,0.35,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Project Phoenix ammonia (WY),United States,United States,North America,Planned,Fuel transformation,Full chain,,,,,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Project Pouakai Hydrogen Production with CCS,New Zealand,New Zealand,Australia and New Zealand,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2018,1000000.0,1.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Project Tundra at Milton R Young Station (ND),United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,2028,2018,4000000.0,4.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Banggai ammonia plant Central Sulawesi,Indonesia,Indonesia,Other Asia Pacific,Planned,Fuel transformation,Full chain,,,,2028,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
PYCASSO hub phase 1 - eastern and western pipeline,France,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2021,1000000.0,1.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Qatar LNG,Qatar,Qatar,Middle East,Operational,Fuel transformation,Full chain,,Dedicated storage,,2019,2019,2200000.0,2.2,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Qatar North Field East Project CCS,Qatar,Qatar,Middle East,Under construction,Fuel transformation,Full chain,,Dedicated storage,,2027,2018,4300000.0,4.3,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Quad County Corn Processors Galva biorefinery (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,109000.0,0.109,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Quest CCS (ALB),Canada,Canada,North America,Operational,Fuel transformation,Full chain,,Dedicated storage,,2015,2009,1000000.0,1.0,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Ravenna CCS phase 2,Italy,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2020,4000000.0,4.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Gevo Net Zero North (ND) (formerly Red Trail Energy BECCS),United States,United States,North America,Operational,Fuel transformation,Full chain,,Dedicated storage,,2022,2016,180000.0,0.18,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Redcar Energy Centre EfW,United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2029,2021,400000.0,0.4,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Redfield Energy biorefinery (ND),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,172000.0,0.172,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
CCS Sakakemang,Indonesia,Indonesia,Other Asia Pacific,Planned,Fuel transformation,Full chain,,Dedicated storage,,2028,2021,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Ringneck Energy & Feed Onida biorefinery (SD),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,229000.0,0.229,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
San Juan Generating Station (NM),United States,United States,North America,Cancelled,Power and heat,Capture,,Dedicated storage,,2025,2019,6000000.0,6.0,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Moomba Carbon Capture and Storage,Australia,Australia,Australia and New Zealand,Operational,Fuel transformation,Full chain,,Dedicated storage,,2024,2019,1700000.0,1.7,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Moomba CCS storage hub (phase 2),Japan-Australia,Japan-Australia,Australia and New Zealand,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2023,3300000.0,3.3,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
SHARC Neste,Finland,Finland,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2025,2021,,,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Calpine Deer Park Energy Center (TX),United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,,2021,5600000.0,5.6,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Shell Netherlands Refineries biodiesel,Netherlands,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2026,2021,380000.0,0.38,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Shell Netherlands Pernis Refineries CCU,Netherlands,Europe,Europe,Operational,Fuel transformation,CCU,,,,1997,,750000.0,0.75,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Humber Hub Blue North Killingholme,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2030,2022,1600000.0,1.6,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Fuel transformation,Full chain,,EOR,,2021,2015,200000.0,0.2,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Sinopec Qilu Petrochemical Shengli (Shandong),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Industry,Full chain,,EOR,,2022,2012,1000000.0,1.0,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Sinopec Shengli Power Plant CCS (Shandong),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,Power and heat,Full chain,,EOR,,2030,2011,2000000.0,2.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Siouxland Energy Cooperative Sioux Center biorefinery (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,186000.0,0.186,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Donghae CCS Project (capture sources under evaluation),South Korea,South Korea,Other Asia Pacific,Planned,TBD,Full chain,,Dedicated storage,,2030,2022,1200000.0,1.2,,,Planned,TBD,IEA-CCUS-2026.xlsx,planned
Sleipner,Norway,Europe,Europe,Operational,Fuel transformation,Full chain,,Dedicated storage,,1996,1991,1000000.0,1.0,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Snohvit CO2 capture and storage,Norway,Europe,Europe,Operational,Fuel transformation,Full chain,,Dedicated storage,,2008,2002,700000.0,0.7,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
South East Australia carbon capture and storage (SEA CCS) hub,Australia,Australia,Australia and New Zealand,Cancelled,CO2 T&S,T&S,,Dedicated storage,,2025,2022,2000000.0,2.0,,,Cancelled,CO2 T&S,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Kwinana Industrial Area CO2 Aggregation Project,Australia,Australia,Australia and New Zealand,Planned,Fuel transformation,Capture,,Dedicated storage,,,2023,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
South West Hub Project,Australia,Australia,Australia and New Zealand,Planned,CO2 T&S,Storage,,Dedicated storage,,,2010,800000.0,0.8,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2019,650000.0,0.65,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Sweden,Europe,Europe,Under construction,Power and heat,Capture,,Dedicated storage,,2028,2021,800000.0,0.8,,,Under construction,Power and heat,IEA-CCUS-2026.xlsx,under_construction
Northeast Scotland DAC,United Kingdom,Europe,Europe,Cancelled,DAC,Capture,,Dedicated storage,,2026,2021,1000000.0,1.0,,,Cancelled,DAC,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Suez Tees Valley / Haverton Hill Waste to Energy CCS,United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2029,2020,240000.0,0.24,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
ATCO Heartland hydrogen hub (ALB),Canada,Canada,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Kanata CarbonHub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2021,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
TA’ZIZ blue ammonia,United Arab Emirates,Middle East,Middle East,Planned,Fuel transformation,Full chain,,,,2030,2020,1575000.0,1.575,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Tangguh LNG EGR ,Indonesia,Indonesia,Other Asia Pacific,Under construction,Fuel transformation,Full chain,,EOR,,2028,2021,3300000.0,3.3,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Terrell Natural Gas Processing Plant (former Val Verde) (TX),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,1972,,500000.0,0.5,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Tharaldson Ethanol Casselton biorefinery (ND),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,501000.0,0.501,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
The ZEROS project Chambers & Liberty County (Jefferson) (TX),United States,United States,North America,Planned,Power and heat,Capture,,EOR,,,2019,1500000.0,1.5,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Gonfreville Raffinerie,France,Europe,Europe,Planned,Fuel transformation,Capture,,,,2030,2021,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Twence Hengelo facility (Boeldershoek),Netherlands,Europe,Europe,Operational,Power and heat,CCU,,,,2025,2019,100000.0,0.1,,,Operational,Power and heat,IEA-CCUS-2026.xlsx,operational
Uthmaniyah CO2-EOR demonstration,Saudi Arabia,Saudi Arabia,Middle East,Operational,Fuel transformation,Full chain,,,,2015,2013,800000.0,0.8,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Växjö Energi CHP CCS Sandviksverket,Sweden,Europe,Europe,Cancelled,Power and heat,Capture,,Dedicated storage,,,2021,200000.0,0.2,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Velocys Bayou Fuels (MS),United States,United States,North America,Planned,Fuel transformation,Capture,,EOR,,,2019,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Venture Global LNG Calcasieu Pass CCS (LA),United States,United States,North America,Planned,Fuel transformation,Capture,,,,,2021,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Venture Global LNG CP2 liquefaction facility CCS (LA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Venture Global LNG Plaquemines CCS (LA),United States,United States,North America,Planned,Fuel transformation,Capture,,,,,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Vestforbrænding's Ejby Glostrup incineration plant,Denmark,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2030,2019,500000.0,0.5,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Viridor Runcorn CCS project,United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2028,2021,900000.0,0.9,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Viking CCS Phase 1,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2027,2020,3600000.0,3.6,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Viking CCS Phase 2,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2020,6400000.0,6.4,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
VPI Immingham CHP plant CCS,United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2027,2019,3300000.0,3.3,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Wabash Valley Resources/Wabash CarbonSAFE (IN),United States,United States,North America,Under construction,Industry,Full chain,,Dedicated storage,,2029,2016,1670000.0,1.67,,,Under construction,Industry,IEA-CCUS-2026.xlsx,under_construction
Nutrien Redwater Fertilizer (ALB) phase 1,Canada,Canada,North America,Operational,Industry,Capture,,EOR,,2020,2011,300000.0,0.3,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Whitetail Clean Energy,United Kingdom,Europe,Europe,Cancelled,Power and heat,Capture,,Dedicated storage,,2025,2021,800000.0,0.8,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Wilhelmshaven Energy Hub BlueHyNow,Germany,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,1300000.0,1.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Yamal LNG,Russia,Russia,Eurasia,Planned,Fuel transformation,Full chain,,Dedicated storage,,,,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Yulin Coal Chemical CCUS (Shaanxi) Phase 1,People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Fuel transformation,Full chain,,EOR,,2022,2015,300000.0,0.3,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Azur Zeeland Refinery,Netherlands,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,800000.0,0.8,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Linde hydrogen plant for Beaumont New Ammonia (TX),United States,United States,North America,Under construction,Industry,Capture,,Dedicated storage,,2026,2022,2200000.0,2.2,,,Under construction,Industry,IEA-CCUS-2026.xlsx,under_construction
In Salah,Algeria,Algeria,Africa,Decommissioned,Fuel transformation,Full chain,,Dedicated storage,,2004,,500000.0,0.5,,,Decommissioned,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Climeworks Orca,Iceland,Iceland,Europe,Operational,DAC,Full chain,,Dedicated storage,,2021,2018,4000.0,0.004,,,Operational,DAC,IEA-CCUS-2026.xlsx,operational
Global thermostat headquarters plant (CO),United States,United States,North America,Operational,DAC,Capture,,,,2023,2023,1000.0,0.001,,,Operational,DAC,IEA-CCUS-2026.xlsx,operational
Sizewell C nuclear-powered DAC Full-scale,United Kingdom,Europe,Europe,Planned,DAC,Capture,,Dedicated storage,,2030,2022,50000.0,0.05,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Climeworks Mammoth Project phase 1,Iceland,Iceland,Europe,Operational,DAC,Full chain,,Dedicated storage,,2024,2022,6000.0,0.006,,,Operational,DAC,IEA-CCUS-2026.xlsx,operational
Daya Bay CCS Hub phase 1 (Guangdong),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,CO2 T&S,T&S,,Dedicated storage,,,2022,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Nanhai petrochemical plant-Capture for Daya bay CCS (Guangdong),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,Industry,Capture,,Dedicated storage,,,2022,,,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Daya Bay CCS Hub phase 2 (Guangdong),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,CO2 T&S,T&S,,Dedicated storage,,,2022,8000000.0,8.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Hynet Northwest phase 3,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2030,2019,8100000.0,8.1,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Pecos County Ultra Clean Fuels Refining (TX),United States,United States,North America,Planned,Fuel transformation,Capture,,EOR,,,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Northern Endurance Partnership phase 2,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2032,2019,4000000.0,4.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Dos Bocas refinery,Mexico,Mexico,North America,Planned,Fuel transformation,Capture,,,,,,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
HyDEMO (shelved??),Norway,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,,2020,150000.0,0.15,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
H2GE Rostock,Germany,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2032,2022,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
CF Industries blue ammonia Donaldsonville (LA),United States,United States,North America,Operational,Industry,Capture,,EOR and storage,,2025,2020,2000000.0,2.0,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
CF Industries blue ammonia Yazoo City (MS),United States,United States,North America,Under construction,Industry,Full chain,,Dedicated storage,,2028,2020,500000.0,0.5,,,Under construction,Industry,IEA-CCUS-2026.xlsx,under_construction
Northern Endurance Partnership phase 3,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2033,2020,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
MoU ADNOC ENEOS Mitsui Ruwais Industrial Area,United Arab Emirates,Middle East,Middle East,Planned,Industry,Capture,,,,,2022,460000.0,0.46,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Wesfarmers Mitsui WA low-carbon ammonia,Australia,Australia,Australia and New Zealand,Planned,Fuel transformation,Capture,,,,,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Yara Sluiskil fertiliser,Netherlands,Europe,Europe,Under construction,Industry,Capture,,Dedicated storage,,2026,2022,800000.0,0.8,,,Under construction,Industry,IEA-CCUS-2026.xlsx,under_construction
Project Bison (WY) Phase 1,United States,United States,North America,Cancelled,DAC,Capture,,Dedicated storage,,2024,2022,10000.0,0.01,,,Cancelled,DAC,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Project Bison (WY) Phase 2,United States,United States,North America,Cancelled,DAC,Capture,,Dedicated storage,,2026,2022,200000.0,0.2,,,Cancelled,DAC,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Project Bison (WY) Phase 3,United States,United States,North America,Cancelled,DAC,Capture,,Dedicated storage,,2028,2022,800000.0,0.8,,,Cancelled,DAC,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Project Bison (WY) Phase 4,United States,United States,North America,Cancelled,DAC,Capture,,Dedicated storage,,2028,2022,4000000.0,4.0,,,Cancelled,DAC,IEA-CCUS-2026.xlsx,cancelled_or_suspended
South Texas DAC Hub (TX),United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,2030,2022,1000000.0,1.0,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Gemini (formerly Denbury Ascension Parish sequestration) (LA),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2027,2022,10000000.0,10.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Ascension Clean Energy (ACE) complex (LA) Phase 1,United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2029,2022,3780000.0,3.78,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Centrica Equinor hydrogen hub Easington collaboration,United Kingdom,Europe,Europe,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
"BlueBonnet Sequestration Hub (Chambers, Liberty, and Jefferson County) (TX)",United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2028,2022,8000000.0,8.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Alberta Carbon Grid (ALB) phase 2,Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2021,10000000.0,10.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Taiwan Cement Hoping/Heping plant,Chinese Taipei,Chinese Taipei,Other Asia Pacific,Planned,Industry,Capture,,,,2030,2019,100000.0,0.1,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
EnLink midstream network (LA),United States,United States,North America,Planned,CO2 T&S,Transport,,Dedicated storage,,,2022,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Athabasca Banks Carbon Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2027,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Battle River Carbon Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2029,2022,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Bow River Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2022,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Central Alberta Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2027,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
East Calgary Region Carbon Sequestration Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2027,2022,10000000.0,10.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Grande Prairie Net Zero Gateway (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,3300000.0,3.3,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Greenview Region CCS Project (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Maskwa Project (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
North Drumheller Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Pathways Alliance (T&S) (ALB),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2022,15200000.0,15.2,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Opal Carbon Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Captus Pincher Creek Carbon Sequestration Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,2700000.0,2.7,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Project Clear Horizon (ALB),Canada,Canada,North America,Planned,Power and heat,Full chain,,Dedicated storage,,2028,2022,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Ram River Carbon Sequestration Hub (ALB),Canada,Canada,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
