project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
ExxonMobil Petrobras CCUS hub MoU (ES) (phase 2/extension of Santos basin EOR?),Brazil,Brazil,Central and South America,Planned,CO2 T&S,Storage,,,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Climeworks Mammoth Project phase 2,Iceland,Iceland,Europe,Under construction,DAC,Full chain,,Dedicated storage,,2026,2022,30000.0,0.03,,,Under construction,DAC,IEA-CCUS-2026.xlsx,under_construction
Shell Netherlands Pernis Refineries CCS,Netherlands,Europe,Europe,Under construction,Fuel transformation,Full chain,,Dedicated storage,,2026,2021,750000.0,0.75,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Transport facility Nucor Direct Reduced Iron (LA),United States,United States,North America,Planned,CO2 T&S,Transport,,,,,2024,800000.0,0.8,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
CO2 Highway Europe (Zeebrugge offshore CO2 pipeline),France-Belgium-Norway,France-Belgium-Norway,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2032,2022,18000000.0,18.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Kemi mill Rauma,Finland,Finland,Europe,Planned,Industry,Capture,,,,,2024,4000000.0,4.0,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
"Strathcona / Serafina CCS (ALB, SK)",Canada,Canada,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2022,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Methanex Medicine Hat plant (ALB),Canada,Canada,North America,Planned,Industry,Full chain,,,,,2024,146000.0,0.146,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Mustasaari waste-to-energy plant,Finland,Finland,Europe,Planned,Power and heat,CCU,,,,,2024,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Middle Arm CO2 import terminal (NT),Australia,Australia,Australia and New Zealand,Planned,CO2 T&S,Transport,,,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Blue Horizon,Oman,Oman,Middle East,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2024,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
